,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
161,FIN,2017,2.02406764030457,1.9772777557373,2.16233658790588,6.66136555422276,46085.0174739036,27.4,8.64,1.06380820274353
162,FIN,2018,2.03439903259277,2.01387786865234,2.17175912857056,-3.84456657280518,49654.2497035329,27.3,7.361,0.891889691352844
163,FIN,2019,2.01262903213501,1.97280502319336,2.11393284797668,6.09707710249334,48358.1807773701,27.7,6.695,0.835258841514587
164,FIN,2020,2.01859211921692,1.90100395679474,2.17043972015381,-0.939114055968044,48828.6846862799,27.1,7.759,0.981825113296509
165,FIN,2021,2.01347613334656,1.91831088066101,2.23784065246582,8.01406291677226,53099.1351400148,27.7,7.617,0.963275969028473
166,FIN,2022,1.95789980888367,1.75458240509033,2.24686503410339,4.67298550552399,50438.4753952355,27.15,6.719,0.894830107688904
167,FIN,2023,1.96704590320587,1.73860657215118,2.22151660919189,-0.0880162430168816,52925.6897638424,27.15,7.151,0.713986694812775
168,FRA,2012,1.43693244457245,1.37338125705719,1.4719694852829,1.22790071519382,40863.5814412333,33.1,9.841,0.554941534996033
169,FRA,2013,1.40236282348633,1.48205244541168,1.30433368682861,1.18823404938295,42669.1795111893,32.5,9.913,0.448744118213654
170,FRA,2014,1.45350301265717,1.41287088394165,1.2879855632782,0.176974174772525,43148.0459288416,32.3,10.273,0.300568491220474
171,FRA,2015,1.36679553985596,1.41732227802277,1.24783480167389,1.76596182973896,36702.4323733379,32.7,10.354,0.0977598056197166
172,FRA,2016,1.35156190395355,1.38062357902527,1.32828891277313,1.44200321416196,37024.2157133669,31.9,10.057,-0.106349594891071
173,FRA,2017,1.39806187152863,1.30890679359436,1.22452700138092,1.68928072199317,38687.1626407164,31.6,9.41,0.265701532363892
174,FRA,2018,1.39622473716736,1.41971850395203,1.28155159950256,2.78594184568695,41418.1766484844,32.4,9.018,0.013894104398787
175,FRA,2019,1.37148487567902,1.33822000026703,1.24806225299835,1.96486943301562,40408.2848574751,31.2,8.415,0.271341234445572
176,FRA,2020,1.29872727394104,1.2042510509491,1.12261998653412,0.731471704018579,39169.8606000707,30.7,8.01,0.280992835760117
177,FRA,2021,1.25916755199432,1.22854030132294,1.28193628787994,3.30405312221271,43725.0999521245,31.5,7.874,0.325612366199493
178,FRA,2022,1.18058335781097,1.16521215438843,1.25943613052368,3.91856445477022,41082.8119320747,32.099999999999994,7.308,0.393339216709137
