Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Paraguay","PRY","47.6","47.9","50.7","47.6","NA","45.1","42.9","43.5","45.7","46","48.5","47.9"
Gini index,"SI.POV.GINI","Peru","PER","44.4","43.9","43.1","43.4","NA","40.3","40.1","43.7","41.5","42.4","43.3","43.6"
Gini index,"SI.POV.GINI","Philippines","PHL","46.5","NA","NA","44.6","NA","NA","40.7","NA","NA","42.3","NA","NA"
Gini index,"SI.POV.GINI","Poland","POL","33","33.1","32.8","31.8","NA","NA","28.5","28.5","28.8","30.2","29.7","31.2"
Gini index,"SI.POV.GINI","Portugal","PRT","36","36.2","35.6","35.5","NA","NA","34.6","34.7","32.8","33.5","33.8","35.2"
Gini index,"SI.POV.GINI","Puerto Rico","PRI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Qatar","QAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","35.1","NA"
Gini index,"SI.POV.GINI","Romania","ROU","36.5","36.9","36","35.9","NA","NA","33.9","34.6","34.8","35.8","36","34.4"
Gini index,"SI.POV.GINI","Russian Federation","RUS","NA","NA","36.9","36.5","NA","NA","35.1","33.7","35.7","35.3","35.5","36.7"
Gini index,"SI.POV.GINI","Rwanda","RWA","NA","45.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","43.7"
Gini index,"SI.POV.GINI","Samoa","WSM","NA","38.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","San Marino","SMR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Sao Tome and Principe","STP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40.7","NA"
Gini index,"SI.POV.GINI","Saudi Arabia","SAU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Senegal","SEN","NA","NA","NA","NA","NA","NA","36.2","NA","NA","38.3","NA","NA"
Gini index,"SI.POV.GINI","Serbia","SRB","39.9","39.4","40.4","40.5","NA","NA","33.1","35","34.5","35","36.1","38.8"
Gini index,"SI.POV.GINI","Seychelles","SYC","NA","46.8","NA","NA","NA","NA","NA","NA","NA","32.1","NA","NA"
Gini index,"SI.POV.GINI","Sierra Leone","SLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","35.7","NA","NA"
Gini index,"SI.POV.GINI","Singapore","SGP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Sint Maarten (Dutch part)","SXM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
